EA,EM,NE,NO,NT,NW,SC,SE,SO,SW,WM,WN,WS
1244.456568,1037.392145,1297.836305,940.5520093,1940.783165,1919.213967,1908.429392,3268.101995,1732.696349,1092.740352,974.7971055,205.4317796,1190.248219
946.6145822,1274.603402,1061.4626,769.3122112,1503.995265,1500.488267,1489.48115,2711.277089,1430.593894,832.2851892,607.9656799,136.9016921,1061.563677
1204.263539,1499.880322,864.1934779,631.5682829,1245.636485,1410.978758,1291.0846,2406.75978,1226.53343,652.0356572,857.0153494,157.8113438,953.468011
1535.790397,1563.054818,1053.816087,899.6118531,1093.226554,2312.961149,1108.620756,2126.055761,1080.408742,520.5126804,1163.972112,187.825059,878.3490201
1648.324445,1702.814543,1252.75347,884.9017406,995.3388958,2514.071773,1800.708646,1932.454885,1010.41706,969.3500364,1283.018142,202.3352483,811.0553416
2055.086277,1811.364257,1463.012407,1067.887468,1253.405085,3021.004241,2009.18481,2211.832107,1247.832479,955.8247961,1600.109021,209.8816924,1156.849918
1847.20444,1960.343065,1198.99048,1475.042443,2288.128041,2575.584783,1379.353701,3360.095715,1979.713411,987.3814708,1383.473606,285.2628772,1373.387078
4075.533962,4126.082754,2264.903307,1689.964753,4521.87654,4358.303329,2963.783148,5752.533681,4020.158467,2414.079216,2973.452073,298.0951897,1400.850253
4427.152076,4784.619071,2619.979526,1954.83467,4756.779521,4956.06481,3387.870475,6079.064767,4298.444208,2737.607438,3419.564591,408.2093563,1571.447245
3907.226936,4289.652902,2397.043823,1869.621065,4408.087039,4729.446046,3093.363061,5417.463458,3679.874299,2320.716824,3129.46786,367.7512059,1577.552144
3526.041827,3899.430104,2227.047749,1789.404944,4211.313265,4466.868756,2888.471365,5003.560383,3285.003915,1993.210701,3030.102526,344.8942078,1557.215169
3449.59901,3817.108766,2157.166551,1760.552645,4391.969173,4477.201909,2959.616426,4990.899062,3211.420821,1866.573239,3127.890333,332.1102679,1597.061163
3590.492218,3827.006387,2246.336975,1885.798948,4631.446287,4712.861702,3247.871924,5218.330872,3266.113921,1912.457379,3203.580219,336.972026,1613.620906
3792.962182,3875.739859,2266.025705,1863.851261,4862.808084,5019.022448,3423.548992,5501.80613,3414.83263,1987.349412,3255.810677,351.2914311,1696.409396
3719.577376,3868.41139,2263.376016,1761.424255,4759.874512,5150.574348,3375.474068,5592.123442,3325.467456,1997.7724,3353.688666,357.6202328,1882.866759
