MOYLE,FABLINK,BRITNED,Northconnet,VikingLink,NEMO,Elec,EA_Domestic,EM_Domestic,NE_Domestic,NO_Domestic,NT_Domestic,NW_Domestic,SC_Domestic,SE_Domestic,SO_Domestic,SW_Domestic,WM_Domestic,WN_Domestic,WS_Domestic,EA_Services,EM_Services,NE_Services,NO_Services,NT_Services,NW_Services,SC_Services,SE_Services,SO_Services,SW_Services,WM_Services,WN_Services,WS_Services,EA_Industrial,EM_Industrial,NE_Industrial,NO_Industrial,NT_Industrial,NW_Industrial,SC_Industrial,SE_Industrial,SO_Industrial,SW_Industrial,WM_Industrial,WN_Industrial,WS_Industrial,EA_Solar,EA_WindOn,EA_WindOff,EM_Solar,EM_WindOn,EM_WindOff,NE_Solar,NE_WindOn,NE_WindOff,NO_Solar,NO_WindOn,NO_WindOff,NT_Solar,NT_WindOn,NT_WindOff,NW_Solar,NW_WindOn,NW_WindOff,SC_Solar,SC_WindOn,SC_WindOff,SE_Solar,SE_WindOn,SE_WindOff,SO_Solar,SO_WindOn,SO_WindOff,SW_Solar,SW_WindOn,SW_WindOff,WM_Solar,WM_WindOn,WM_WindOff,WN_Solar,WN_WindOn,WN_WindOff,WS_Solar,WS_WindOn,WS_WindOff,EA_Temp,EM_Temp,NE_Temp,NO_Temp,NT_Temp,NW_Temp,SC_Temp,SE_Temp,SO_Temp,SW_Temp,WM_Temp,WN_Temp,WS_Temp
36.88396053,50.26678773,35.89264,24.27026133,17.91213653,35.89264,27932.5,7456.283918,8625.663914,5254.237965,3712.575525,9772.71231,9448.847175,6178.081325,10493.00989,6854.510864,2501.334496,7242.533371,370.2176117,1444.411151,635.0797144,612.1945433,378.2427644,128.1048499,1090.115047,911.9008898,951.5503878,825.2054732,349.4079044,538.937637,875.3830932,75.76930591,351.1762896,547.4976724,562.5808208,592.120226,621.067671,145.8011908,748.569363,505.138397,754.580371,559.6532328,113.4742954,191.7072444,312.5739562,366.8800492,0,0.459,0.811,0,0.358,0.8145,0,0.457,0.827,0,0.537,0.842333333,0,0.425,0.797666667,0,0.432,0.768,0,0.727,0.987,0,0.479,0.784333333,0,0.404,0.701,0,0.402,0.153,0,0.249,0.1,0,0.367,0.669333333,0,0.279,0.418,5.366,5.455,6.003,6.22,5.544,8.002,3.765,6.702,6.736,5.89,5.349,7.385,7.293
35.94513907,49.6698018,42.59848707,24.0288222,17.82756067,42.59848707,28276,2458.513607,3397.922169,1740.015093,1603.441056,3975.209282,4183.529672,2222.50793,3779.665408,2314.905391,1415.047968,2936.61033,194.4275056,1243.764733,1069.443853,1039.040959,595.4366589,170.6435601,1832.25447,1187.560762,1042.670757,1417.457147,553.8553682,747.5078013,1228.474535,137.2685915,537.0438725,551.45844,493.8568464,482.0382688,525.0197648,164.91177,993.11016,464.72706,566.03298,541.43664,133.00071,164.33577,64.19475,453.01065,0,0.563,0.955,0,0.525,0.929,0,0.414,0.9235,0,0.377,0.970333333,0,0.94,0.924833334,0,0.429,0.961,0,0.429,0.974,0,0.432,0.894666667,0,0.356,0.8635,0,0.448,0.945,0,0.444,0.01,0,0.513,0.942333333,0,0.466,0.954,5.18,5.351,5.882,5.487,5.303,8.018,3.247,6.697,6.617,6.065,5.396,7.516,7.317
33.13026107,44.31300367,44.31300367,23.90940313,15.46476913,44.31300367,28049,1958.017319,2441.171469,1310.601527,1302.241809,3060.152681,2958.85112,1530.538665,2736.455835,1809.809505,998.9401739,2122.606721,120.166359,955.9295054,1164.668306,1048.515496,600.8661725,172.1995804,1995.400416,1293.302474,1135.511303,1543.669084,603.1712572,814.0667151,1337.859254,149.4911373,584.8628475,573.5167776,516.6002538,504.2373996,549.1983066,171.5082408,1032.834566,483.3161424,588.6742992,563.0941056,138.3207384,170.9092008,66.76254,471.131076,0,0.569,0.949,0,0.52,0.938,0,0.345,0.934,0,0.416,0.961,0,0.933,0.921833334,0,0.474,0.94,0,0.474,0.9755,0,0.447,0.894666667,0,0.383,0.8635,0,0.468,0.96,0,0.413,0.01,0,0.524,0.939,0,0.299,0.962,4.98,5.338,5.832,5.018,5.122,8.061,2.547,6.716,6.477,6.078,5.449,7.637,7.055
31.2707356,40.32099487,34.96419673,23.88381333,13.67348313,34.96419673,27151.5,1815.737385,2264.23463,1014.276633,1115.441568,2625.793441,2425.232301,1310.395002,2222.768168,1529.208422,739.8325964,1892.030851,84.35759106,389.2554222,1164.668306,1051.673675,602.6760104,172.7182538,1995.400416,1293.302474,1135.511303,1543.669084,603.1712572,814.0667151,1337.859254,149.4911373,584.8628475,590.0605308,527.9719575,515.336965,561.2875775,176.4555939,1062.627871,497.2579542,605.6552886,579.3372048,142.3107597,175.8392739,68.6883825,484.7213955,0,0.589,0.9495,0,0.523,0.9315,0,0.276,0.9235,0,0.431,0.958,0,0.932,0.92825,0,0.497,0.941,0,0.497,0.9815,0,0.455,0.907,0,0.397,0.868,0,0.505,0.968666667,0,0.39,0.01,0,0.516,0.944666667,0,0.247,0.954,4.908,5.43,5.715,4.703,4.831,8.087,1.8,6.68,6.257,6.366,5.531,7.786,6.28
31.2707356,38.80266673,33.26674,23.9008732,14.01468047,33.26674,25724,1621.999937,2079.186661,759.5986195,952.4825864,2246.794816,2093.16347,962.9254801,1619.51657,1256.051155,407.220786,1556.646605,7.430109649,34.09763545,1329.479858,1222.215353,700.4072553,200.7266193,2277.7684,1476.316975,1296.196865,1762.112823,688.5256804,929.2648352,1527.17896,170.6455436,667.6264579,641.5299852,560.4625395,547.050009,595.8283515,191.8473591,1155.318153,540.6324798,658.4850334,629.8712912,154.7241593,191.1772791,74.6798925,527.0023895,0,0.566,0.944,0,0.502,0.92,0,0.206,0.877,0,0.432,0.951333333,0,0.93,0.929333334,0,0.487,0.946,0,0.487,0.9855,0,0.476,0.914666667,0,0.418,0.885,0,0.549,0.964666667,0,0.37,0.01,0,0.553,0.941666667,0,0.314,0.949,4.782,5.558,5.66,4.385,4.789,8.028,1.167,6.61,6.398,6.798,5.725,7.999,5.256
30.63952053,37.95820333,30.61393073,24.0032324,11.72865833,30.61393073,24606.5,1594.856645,2098.528649,538.8764568,920.3158697,2009.844402,1958.033143,620.2494653,1244.250737,989.860326,180.747477,1336.788329,29.85742198,122.9765332,1688.402795,1446.446076,828.905744,237.5524332,2892.703119,1874.881888,1646.134311,2237.834742,874.4086464,1180.140741,1939.475208,216.7151393,847.8672097,700.3522188,594.5776506,580.3487052,632.0961642,209.4379479,1261.249903,590.2033662,718.8618846,687.6245328,168.9109017,208.7064279,81.5273325,575.3235255,0,0.502,0.9445,0,0.456,0.941,0,0.241,0.8775,0,0.416,0.946333333,0,0.926,0.918416667,0,0.502,0.937,0,0.502,0.984,0,0.51,0.892333333,0,0.438,0.88,0,0.612,0.954666667,0,0.347,0.01,0,0.436,0.937666667,0,0.387,0.954,4.75,5.606,5.226,4.039,4.847,7.925,0.767,6.597,6.68,7.332,6.027,7.877,4.564
30.71628993,37.95820333,29.84623673,24.14824127,9.468226,29.84623673,24212.5,2136.620735,2755.275977,709.965065,1063.817665,2803.019858,2534.093516,801.7465034,1663.724604,1123.15097,388.0746777,1956.48578,13.41773207,113.7650875,1834.901953,1452.762435,832.5254198,238.58978,3143.696882,2037.561445,1788.965921,2432.006953,950.2792448,1282.53907,2107.759391,235.519056,921.4348634,849.2459976,732.6626241,715.1291422,778.8944537,253.9641258,1529.389646,715.6796724,871.6907892,833.8124256,204.8210934,253.0770858,98.859915,697.636401,0,0.463,0.952,0,0.348,0.929,0,0.468,0.8625,0,0.447,0.943,0,0.923,0.930166667,0,0.554,0.927,0,0.554,0.9745,0,0.538,0.908333333,0,0.473,0.87,0,0.637,0.959,0,0.255,0.01,0,0.302,0.944666667,0,0.463,0.949,4.71,5.699,4.8,3.668,5.108,7.809,0.559,6.758,6.95,7.765,6.096,7.193,4.242
29.53915913,38.14586187,24.75386653,23.96058273,13.19580687,24.75386653,24464,2303.473664,2172.190141,1362.890191,1563.726567,2891.604295,1934.70186,1597.810841,2807.569294,2326.714765,921.6341889,813.9341776,39.27621758,108.3029084,2267.074469,1714.891309,982.7419629,281.6396751,3884.128483,2517.466136,2210.319172,3004.814978,1174.09751,1584.61414,2604.19773,290.9906101,1138.459442,970.5668544,843.1306029,822.9534918,896.3330853,290.2447152,1747.873882,817.9196256,996.2180448,952.9284864,234.0812496,289.2309552,112.98276,797.298744,0,0.435,0.9525,0,0.241,0.9165,0,0.619,0.893,0,0.47,0.953333333,0,0.909,0.942416667,0,0.588,0.944,0,0.588,0.9435,0,0.539,0.932333333,0,0.504,0.9005,0,0.654,0.963,0,0.183,0.01,0,0.252,0.956333333,0,0.51,0.946,4.663,5.455,4.629,3.309,5.385,7.634,0.37,6.885,7.035,8.041,5.659,6.312,4.094
29.51356933,37.7193652,24.42972907,23.65350513,14.39852747,24.42972907,24578,5128.927032,5334.283017,3024.398149,2812.16317,5240.442354,4539.29211,3536.973372,6948.969501,5068.169177,3056.79679,3182.316904,295.9001513,798.6166543,2237.774638,1765.422176,1011.699369,289.9384501,3833.92973,2484.930225,2181.75285,2965.980536,1158.92339,1564.134475,2570.540894,287.2298268,1123.745911,999.9779712,886.9928886,865.7661012,942.9631302,299.0400096,1800.839757,842.7050688,1026.40647,981.8051072,241.1746208,297.9955296,116.40648,821.459312,0,0.466,0.9595,0,0.236,0.924,0,0.663,0.9165,0,0.508,0.962333333,0,0.871,0.955583334,0,0.572,0.964,0,0.572,0.8815,0,0.581,0.951666667,0,0.548,0.9435,0,0.67,0.976666667,0,0.24,0.01,0,0.33,0.964333333,0,0.562,0.975,4.82,5.036,4.585,2.949,5.76,7.422,0.034,7.065,7.25,8.181,4.8,5.565,3.857
29.556219,35.8768996,29.80358707,24.12265147,18.6037846,29.80358707,24969.5,6750.103514,7377.242521,4348.131053,3747.679845,6491.023193,6958.090468,5384.333319,8823.039053,6812.616201,4622.623708,4780.047774,543.5392295,1501.331513,2157.200101,1702.258592,975.5026114,279.5649814,3695.883161,2395.456469,2103.195464,2859.18582,1117.194561,1507.815394,2477.984593,276.8876726,1083.283702,977.9196336,873.9966558,853.0808836,929.1468206,292.4435388,1761.11535,824.1159864,1003.765151,960.1476416,235.8545924,291.4220988,113.83869,803.338886,0,0.394,0.977,0,0.311,0.954,0,0.664,0.933,0,0.538,0.976666667,0,0.753,0.971333334,0,0.535,0.977,0,0.535,0.785,0.006,0.619,0.965666667,0,0.581,0.9605,0,0.606,0.983,0,0.429,0.01,0,0.452,0.972666667,0,0.6,0.983,4.95,4.462,4.656,2.782,6.238,7.167,-0.408,7.294,7.544,8.174,3.676,4.935,3.551
31.35603493,38.98179533,34.06855373,24.19089093,22.38254507,34.06855373,27213.5,6176.255707,7367.33754,4417.067867,3937.343595,6261.426498,7175.085241,5592.369424,8120.600224,6145.465661,4249.418636,4964.891032,617.9242382,1699.546773,1952.10128,1626.462291,932.0665026,267.116819,3344.491892,2167.70509,1903.23121,2587.344723,1010.975724,1364.457733,2242.386737,250.5621893,980.2889865,937.479348,843.1306029,822.9534918,896.3330853,280.350009,1688.287272,790.036002,962.256066,920.442288,226.101207,279.370809,109.131075,770.118105,0.01,0.283,0.9815,0.011,0.442,0.9695,0.005,0.658,0.9425,0,0.524,0.986,0.007,0.509,0.976083334,0.01,0.51,0.99,0,0.51,0.7215,0.024,0.637,0.970666667,0.004,0.62,0.9665,0.004,0.481,0.988333333,0.01,0.567,0.01,0.011,0.57,0.971333333,0.006,0.617,0.99,5.279,4.159,4.782,2.934,6.875,6.853,-0.162,7.662,8.146,8.221,2.838,4.311,3.407
38.29940067,40.8669106,36.20103707,24.32736987,23.4402568,36.20103707,30105,5334.63861,6996.4043,4302.447674,4127.900444,5786.450663,7002.025149,5347.097394,7186.8362,5135.159056,3475.538269,4984.408455,564.1748485,1818.056091,1990.191061,1674.466615,959.5760382,275.0006552,3409.750271,2210.001774,1940.367428,2637.829498,1030.702079,1391.081299,2286.140625,255.4512076,999.4165764,895.2008676,792.7702008,773.7982736,842.7948856,267.7067733,1612.148826,754.4069274,918.8602042,878.9321456,215.9044859,266.7717333,104.2094775,735.3872885,0.036,0.145,0.9765,0.048,0.531,0.9805,0.042,0.658,0.967,0.006,0.459,0.981,0.028,0.39,0.97275,0.032,0.453,0.991,0.002,0.453,0.7405,0.057,0.622,0.969,0.022,0.612,0.966,0.022,0.232,0.991,0.035,0.604,0.01,0.024,0.663,0.957666667,0.021,0.658,0.992,5.529,4.127,4.856,3.236,7.381,6.527,0.761,7.999,8.61,8.026,2.381,3.909,3.397
76.80351973,42.28287953,42.28287953,24.31883993,23.91793307,42.28287953,32321.5,4905.056153,7031.664987,4460.843265,4346.058013,5633.012344,7334.239143,5004.939903,6442.115039,4778.442249,3200.710377,5361.574444,586.531531,1999.417398,2069.556979,1780.770927,1020.495181,292.459203,3545.726142,2298.133424,2017.746453,2743.022294,1071.804976,1446.555593,2377.308581,265.6382295,1039.271853,843.7314132,752.1569733,734.1569686,799.6189181,252.3150081,1519.458545,711.0324018,866.0304594,828.3980592,203.4910863,251.4337281,98.2179675,693.1062945,0.08,0.093,0.945,0.049,0.564,0.9845,0.054,0.653,0.976,0.015,0.365,0.906666667,0.056,0.645,0.958166667,0.043,0.446,0.956,0.006,0.446,0.6745,0.084,0.612,0.971333333,0.041,0.6,0.9705,0.041,0.152,0.991,0.043,0.583,0.01,0.028,0.731,0.944,0.023,0.708,0.992,5.461,4.261,4.891,3.398,7.668,6.4,1.537,8.278,8.915,7.147,2.578,3.818,3.382
31.36456487,41.5322454,41.5322454,24.5150284,24.48090867,41.5322454,33953,5157.483406,7923.051436,4920.915829,4317.405725,5877.813742,7987.492419,5050.848037,6716.268802,4565.56361,3510.111068,6094.023957,634.1415609,2232.435738,1963.198591,1696.700196,972.3172968,278.6521161,3363.50467,2180.028066,1914.050704,2602.053268,1016.722921,1372.214407,2255.134264,251.986586,985.8617362,797.7765432,727.7890368,710.3721856,773.7133376,238.5723606,1436.699365,672.3051468,818.8610444,783.2783392,192.4076938,237.7390806,92.868405,655.355407,0.051,0.135,0.919,0.046,0.575,0.99,0.048,0.677,0.99,0.013,0.212,0.861666667,0.044,0.832,0.948833334,0.036,0.606,0.927,0.006,0.606,0.5985,0.075,0.587,0.978666667,0.036,0.577,0.9755,0.036,0.293,0.988,0.049,0.604,0.01,0.026,0.772,0.929333333,0.028,0.724,0.978,5.225,4.403,4.896,3.423,7.678,6.402,2.396,8.428,9.049,5.67,2.892,3.879,3.294
55.3507374,40.01391727,31.9360704,25.29978227,25.29978227,31.9360704,34173.5,5695.414693,8256.531435,5167.427089,4149.525204,6165.271422,8379.669053,5349.885058,7225.65378,5143.081382,3965.719545,6662.498272,671.2627673,2475.807572,1896.724598,1696.700196,972.3172968,278.6521161,3249.61625,2106.212217,1849.240861,2513.947627,982.2966373,1325.751165,2178.775316,243.4543088,952.4804133,784.9091796,706.6701585,689.758707,751.2618345,234.7244193,1413.526794,661.4615154,805.6536082,770.6448176,189.3043439,233.9045793,91.3705275,644.7851585,0.023,0.271,0.9075,0.023,0.571,0.9925,0.032,0.663,0.989,0.017,0.087,0.852333333,0.02,0.889,0.945083334,0.024,0.753,0.904,0.001,0.753,0.6775,0.05,0.564,0.982666667,0.023,0.555,0.9775,0.023,0.527,0.982333333,0.092,0.637,0.01,0.028,0.78,0.946333333,0.034,0.674,0.966,4.778,4.53,4.879,3.3,7.326,6.363,3.014,8.461,9.053,4.197,3.233,3.96,3.219
45.20864667,39.67271993,31.81665133,25.91393747,25.91393747,31.81665133,34312.5,5773.016875,8185.975238,5109.93141,3979.942914,6323.93881,8320.693783,5400.332988,7070.008658,5413.052384,4080.986534,6625.334447,649.582757,2527.675796,1776.628251,1635.280811,937.1200767,268.5651004,3043.857838,1972.851584,1732.151077,2354.770102,920.0998175,1241.807575,2040.82015,228.039328,892.17149,772.041816,683.9267511,667.5595762,727.0832927,230.876478,1390.354224,650.617884,792.446172,758.011296,186.200994,230.070078,89.87265,634.21491,0.007,0.461,0.9295,0.011,0.55,0.9875,0.02,0.616,0.9825,0.008,0.035,0.924,0.009,0.893,0.95725,0.008,0.837,0.928,0,0.837,0.851,0.018,0.549,0.985,0.021,0.543,0.9775,0.021,0.7,0.981333333,0.064,0.64,0.01,0.034,0.777,0.968333333,0.012,0.616,0.96,4.329,4.493,4.629,3.094,6.466,6.391,3.092,8.347,8.87,3.178,3.333,3.982,3.039
45.31100587,39.68124987,37.63406587,26.23807493,26.27219467,37.63406587,35113,6040.717684,8123.583681,5123.823792,4381.48466,6825.520334,8383.311602,5500.752127,7468.597561,5652.521459,4371.508422,6559.793359,669.3442642,2685.481272,1785.93461,1612.629466,924.1394127,264.8450293,3059.802217,1983.185803,1741.224456,2367.104892,924.9194973,1248.312429,2051.510403,229.2338468,896.8448752,775.7182056,674.1795765,658.045663,716.7210605,231.9758898,1396.974958,653.7160644,796.2197252,761.6208736,187.0876654,231.1656498,90.300615,637.234981,0,0.551,0.955,0.002,0.536,0.981,0.001,0.631,0.9755,0,0.121,0.962,0.002,0.875,0.971333334,0,0.873,0.968,0,0.873,0.944,0.001,0.552,0.987666667,0.007,0.424,0.981,0.007,0.764,0.980666667,0.008,0.612,0.01,0.003,0.768,0.976666667,0.001,0.577,0.964,4.066,4.263,3.999,2.956,4.981,6.477,2.639,8.119,8.241,2.924,3.023,3.761,2.474
48.62062,44.00592607,44.00592607,26.3830838,26.3830838,44.00592607,37759,7113.975892,9186.307847,5828.121611,5120.042422,8357.956201,9996.650659,6543.398363,8848.275612,6654.205482,5313.831917,7539.580018,834.8596692,3114.017721,1410.054395,1253.797145,718.505634,205.9133536,2415.814969,1565.790731,1374.754251,1868.907539,730.2545095,985.5839161,1619.73526,180.9876977,708.0886675,777.5564004,672.5550474,656.4600108,714.9940218,232.5255957,1400.285326,655.2651546,798.1065018,763.4256624,187.5310011,231.7134357,90.5145975,638.7450165,0,0.573,0.9595,0,0.53,0.9785,0,0.672,0.9755,0,0.336,0.971666667,0,0.861,0.975083334,0,0.868,0.977,0,0.868,0.953,0,0.49,0.990666667,0,0.244,0.986,0,0.802,0.982,0,0.603,0.01,0,0.761,0.976,0,0.562,0.968,4.009,3.964,3.63,3.179,3.655,6.601,2.002,7.742,7.64,2.999,2.496,3.324,1.824
76.80351973,50.3863162,50.3863162,26.2551348,26.2551348,50.3863162,38757.5,8330.434101,10756.21355,6805.666875,5806.280828,9568.860563,12179.3897,7765.451576,10651.95882,8253.3357,6612.638262,8659.033185,1123.667858,3581.066932,1417.379353,1263.271682,723.9351476,207.4693739,2428.364657,1573.924709,1381.895831,1878.61615,734.0480394,990.7038325,1628.14947,181.9278935,711.7670502,792.2619588,692.0493966,675.4878372,735.7184862,236.9232429,1426.768263,667.6578762,813.2007146,777.8639728,191.0776867,236.0957229,92.2264575,650.8253005,0,0.572,0.9605,0,0.591,0.976,0,0.687,0.971,0,0.536,0.972666667,0,0.855,0.976583334,0,0.827,0.978,0,0.827,0.958,0,0.329,0.992666667,0,0.168,0.99,0,0.808,0.984666667,0,0.597,0.01,0,0.76,0.975,0,0.547,0.972,4.055,3.702,3.584,3.632,2.828,6.764,1.36,7.138,6.515,3.147,1.973,2.947,1.599
75.0292936,52.970886,46.91463333,26.0248266,26.0248266,46.91463333,37855,8692.651197,11268.40141,7032.71878,5833.270409,10225.72648,12901.54251,8011.283812,11569.26144,8658.83747,7141.579102,9108.124829,1197.302763,3801.470125,1355.117211,1196.949919,685.9285524,196.5772318,2321.692308,1504.785897,1321.192397,1796.09296,701.8030351,947.1845427,1556.628692,173.936229,680.5007974,784.9091796,688.8003384,672.3165328,732.2644088,234.7244193,1413.526794,661.4615154,805.6536082,770.6448176,189.3043439,233.9045793,91.3705275,644.7851585,0,0.541,0.9585,0,0.559,0.976,0,0.696,0.9795,0,0.604,0.964666667,0,0.85,0.975416667,0,0.776,0.976,0,0.776,0.943,0,0.207,0.992333333,0,0.337,0.9915,0,0.831,0.986666667,0,0.553,0.01,0,0.744,0.973666667,0,0.525,0.976,4.08,3.453,3.811,3.86,2.564,6.892,0.81,6.465,5.348,3.262,1.314,2.528,1.545
47.42642933,47.98940493,44.35565333,25.75186873,25.75186873,44.35565333,36523,8804.01957,11192.2175,7028.480864,5631.155447,10650.51616,13020.41289,8148.293542,11691.39845,8321.282794,7090.311168,9468.785194,1229.705538,3900.12861,922.944695,822.3898651,471.2817811,135.0625624,1581.260707,1024.881206,899.8391461,1223.284935,477.9847698,645.1094723,1060.190352,118.4646749,463.4762187,768.3654264,677.4286347,661.2169674,720.1751379,229.7770662,1383.73349,647.5197036,788.6726188,754.4017184,185.3143226,228.9745062,89.444685,631.194839,0,0.502,0.955,0,0.529,0.967,0,0.693,0.9815,0,0.574,0.959666667,0,0.845,0.972666667,0,0.678,0.97,0,0.678,0.8875,0,0.223,0.990333333,0,0.539,0.9925,0,0.826,0.988666667,0,0.479,0.01,0,0.7,0.975333333,0,0.499,0.981,3.991,3.118,4.085,3.907,2.815,6.86,0.262,5.731,4.364,3.294,0.528,2.026,1.345
31.36456487,46.91463333,44.35565333,25.5386204,25.5386204,44.35565333,34466,8343.913093,10605.4423,6666.992022,5274.32293,10135.29136,12327.73594,7815.022217,10768.6946,7737.211657,6528.122693,8981.444184,1154.431981,3701.333169,899.8710776,809.1255125,463.6804621,132.884134,1541.729189,999.2591755,877.3431674,1192.702811,466.0351506,628.9817355,1033.685593,115.503058,451.8893133,733.4397252,638.4399363,623.1613146,678.7262091,219.3326541,1320.836513,618.0869898,752.8238634,720.1107312,176.8909443,218.5665741,85.3790175,602.5041645,0,0.487,0.959,0,0.525,0.961,0,0.702,0.9805,0,0.513,0.963666667,0,0.864,0.974,0,0.629,0.975,0,0.629,0.819,0,0.409,0.989,0,0.63,0.993,0,0.8,0.99,0,0.442,0.01,0,0.684,0.981,0,0.472,0.986,3.799,3.059,4.439,3.867,3.161,6.738,-0.29,5.391,3.85,3.198,-0.107,1.603,1.088
31.35603493,47.78468653,44.7309704,25.29125233,25.29125233,44.7309704,32296.5,7476.669193,9572.761034,6138.880317,4673.67638,9430.543182,11256.36262,7380.640264,10146.09288,6977.08652,5896.411644,8431.095939,1035.074005,3346.087116,820.3952845,725.1179456,415.5387747,119.0874206,1405.565073,911.0055161,799.8570187,1087.364386,424.875351,573.4306421,942.3914243,105.3019332,411.9788611,698.514024,607.5738834,593.0339228,645.9124738,208.888242,1257.939536,588.654276,716.975108,685.819744,168.467566,208.158642,81.31335,573.81349,0,0.556,0.9715,0,0.522,0.959,0,0.699,0.971,0,0.46,0.975666667,0,0.899,0.978583334,0,0.63,0.989,0,0.63,0.8285,0,0.6,0.985666667,0,0.679,0.993,0,0.718,0.991666667,0,0.417,0.01,0,0.649,0.982,0,0.456,0.988,3.935,3.189,4.53,3.653,3.279,6.647,-0.541,5.396,3.874,2.815,-0.456,1.205,1.009
31.35603493,44.35565333,42.02698153,25.04388427,25.04388427,42.02698153,30458.5,6306.047151,7979.118631,5020.371295,3838.846981,8344.09705,9478.976909,6497.678121,8433.954901,5937.209354,4896.588333,7273.529423,838.985616,2772.795664,712.7184034,667.639084,382.5997255,109.6475641,1221.084657,791.4360421,694.875785,944.6478107,369.1104612,498.1678703,818.7025498,91.48105448,357.9066356,612.1188684,555.5889522,542.2930524,590.6472354,183.0520647,1102.352278,515.8470366,628.2966078,600.9946704,147.6307881,182.4127047,71.2561725,502.8418215,0,0.585,0.9755,0,0.544,0.958,0,0.713,0.9715,0,0.441,0.980333333,0,0.926,0.979083334,0,0.598,0.993,0,0.598,0.9215,0,0.68,0.982666667,0,0.684,0.9925,0,0.638,0.993,0,0.38,0.01,0,0.597,0.975,0,0.46,0.992,3.978,3.615,4.417,3.289,3.174,6.723,-0.776,5.545,4.177,2.255,-0.364,0.889,1.351
55.36779727,46.9061034,26.0504164,25.078004,25.078004,36.49958473,28117.5,4434.897464,5716.474507,3537.18035,2791.223367,6422.469494,6790.264896,4904.184225,6000.926416,4056.161844,3316.800909,5267.253477,573.1751596,2020.58699,738.355756,694.1677894,397.8023636,114.004421,1265.008566,819.9049645,719.8713169,978.6279477,382.3878159,516.0875779,848.1522818,94.77173989,370.780975,555.1348296,503.604021,491.552182,535.381997,166.0111818,999.7308944,467.8252404,569.8065332,545.0462176,133.8873814,165.4313418,64.622715,456.030721,0,0.626,0.974,0,0.556,0.955,0,0.741,0.978,0,0.423,0.980666667,0,0.942,0.978333334,0,0.551,0.993,0,0.551,0.967,0,0.697,0.982666667,0,0.669,0.992,0,0.584,0.985666667,0,0.321,0.01,0,0.564,0.968666667,0,0.463,0.99,3.998,3.885,4.204,3.137,2.826,6.891,-0.98,5.631,4.342,1.742,-0.156,0.722,1.726
60.806988,42.723252,25.542,24.613974,24.613974,33.766524,26815.5,2885.874519,3379.365702,1964.624677,1793.758752,4579.325996,3903.967788,2792.918477,3090.641758,2203.690931,1419.192759,2797.135366,239.0378525,273.0572186,1045.498185,1120.886872,700.3914762,212.3188438,1780.858778,1403.511633,1452.37177,1318.463893,548.1646487,786.0641536,1530.676995,161.6862868,540.0691666,588.53391,648.45404,572.5440848,624.4229616,187.39533,1018.14495,514.058376,579.26529,574.09401,225.09474,266.791464,66.98988,836.44899,0,0.634,0.9735,0,0.598,0.968,0,0.742,0.9805,0,0.431,0.983,0,0.954,0.978083334,0,0.501,0.993,0,0.501,0.987,0,0.686,0.982666667,0,0.625,0.9915,0,0.549,0.969333333,0,0.342,0.01,0,0.536,0.968666667,0,0.463,0.983,4.181,3.968,4.072,3.057,2.391,6.991,-1.191,5.68,4.364,1.258,0.177,0.773,1.798
